video,frame,fps,side,count_total,area_frac,bottom_y_norm,max_conf,closest_area_frac,closest_bottom_y_norm,danger_zone_hit,lateral_spread,count_far,count_mid,count_near,temporal_count_avg,avg_speed_avg,avg_speed_max,closing_speed_avg,closing_speed_max,ttc_min,avg_acceleration_avg,avg_acceleration_max,accel_trend_avg,accel_trend_max,circular_directional_consistency,x_drift_rate_avg,x_drift_rate_max,area_change_avg,area_change_max,tracking_consistency_avg,new_entry_count,clustering_density_avg
flipped_part_007.mp4,0,59.96002664890073,left,3,0.024454339174553752,0.7642475763956705,0.8496854305267334,0.024454339174553752,0.7642475763956705,0,0.23616837395562068,0,0,3,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,181.16934501279277
flipped_part_007.mp4,0,59.96002664890073,right,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
flipped_part_007.mp4,1,59.96002664890073,left,3,0.02512150452761152,0.7650279998779297,0.857846736907959,0.02512150452761152,0.7650279998779297,0,0.23752916124131943,0,0,3,3.0,1.4082111295146127,2.5223607064794145,0.0002519926616454683,0.0006671653530577681,40.1299838067441,0.0,0.0,0.0,0.0,0.6781696478181314,0.0,0.0,522.531983188043,1383.4340761005878,0.20000000000000004,0,182.36882017369237
flipped_part_007.mp4,1,59.96002664890073,right,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
flipped_part_007.mp4,2,59.96002664890073,left,3,0.025594912764505286,0.7658851623535157,0.8473824262619019,0.025594912764505286,0.7658851623535157,0,0.2404477225409614,0,0,3,3.0,1.4598714673234827,1.918490522972914,0.00016061938534113015,0.0004734082368937649,134.3024255377993,0.0516603378088701,0.6038701835065006,0.0,0.0,0.3019316086924014,0.00046208110856421175,0.0019328435262044084,333.0603574433674,981.6593200229108,0.3,0,184.5480403907305
flipped_part_007.mp4,2,59.96002664890073,right,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
flipped_part_007.mp4,3,59.96002664890073,left,2,0.02636624233899056,0.7667261123657226,0.8610449433326721,0.02636624233899056,0.7667261123657226,0,0.1758672361020689,0,0,2,2.75,0.9599725116082998,1.084225753165636,0.00039174246864503304,0.000771329574485275,84.3323707896605,-0.5165695479584798,0.8342647698072778,-0.26260028966899046,0.19386689731890802,0.08622146842911617,0.0005476163934777834,0.0016043062563295143,812.3171829823405,1599.429005652666,0.4,0,204.31115112069511
flipped_part_007.mp4,3,59.96002664890073,right,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
flipped_part_007.mp4,4,59.96002664890073,left,2,0.026594425699067083,0.7671796162923177,0.8083149790763855,0.026594425699067083,0.7671796162923177,0,0.17882582346598305,0,0,2,2.6,1.6394458512678844,2.270083866738016,0.00011351012331516235,0.0002281833600765238,283.61622462098205,0.6794733396595849,1.18585811357238,-0.005375126699367183,0.14835927550441344,0.21490531650347158,0.0005127055556685702,0.001637992858886689,235.37459170632064,473.1610154546797,0.5,0,207.16030249823953
flipped_part_007.mp4,4,59.96002664890073,right,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
flipped_part_007.mp4,5,59.96002664890073,left,2,0.027079716100232434,0.7679363250732422,0.8288314342498779,0.027079716100232434,0.7679363250732422,0,0.18129115634494358,0,0,2,2.5,1.4194841958311364,1.9558536528719248,0.00023867242111638332,0.00048529040116535065,135.40033598619462,-0.21996165543674828,0.3142302138660913,0.0031526001470814913,0.08444727663915085,0.30484443188329097,0.0004915362564975358,0.001651762705000654,494.91113242693245,1006.2981758564711,0.6,0,209.85031340521945
flipped_part_007.mp4,5,59.96002664890073,right,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
flipped_part_007.mp4,6,59.96002664890073,left,2,0.02745272844045331,0.7685770670572917,0.8402138948440552,0.02745272844045331,0.7685770670572917,0,0.18374380888762296,0,0,2,2.4285714285714284,1.3993203447452442,1.98232625063574,0.0001903460434128467,0.00037301234022087565,177.18761265071586,-0.020163851085892137,0.06680029993559944,0.002258171927070691,0.04457990888125439,0.08058467596692973,0.0004892612891222432,0.0016690481276739092,394.70155562087893,773.4783886820078,0.7,0,212.63833573990112
flipped_part_007.mp4,6,59.96002664890073,right,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
flipped_part_007.mp4,7,59.96002664890073,left,2,0.027993230894207955,0.7696225484212239,0.8768055438995361,0.027993230894207955,0.7696225484212239,0,0.1853964628996672,0,0,2,2.375,1.207361570585018,1.655067822955717,0.00025856509191299543,0.0005405024537546445,124.02134625636089,-0.1919587741602261,0.327258427680023,-0.01887022523228652,0.019494524376110964,0.5616056733902225,0.00046076059761922386,0.001619242612647002,536.1605745907873,1120.7858881056309,0.8,0,214.67396948951392
