id,count_total,area_frac,bottom_y_norm,max_conf,closest_area_frac,closest_bottom_y_norm,danger_zone_hit,lateral_spread,count_far,count_mid,count_near,danger_label
cyclar_data_23_frame000578_Right,4,0.0131750994907213,0.5432754956155157,0.8277117609977722,0.0131750994907213,0.5432754956155157,0,0.2311185671959394,0,4,0,0
cyclar_data_23_frame000579_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000579_Right,4,0.0127852848335513,0.5403313656402714,0.8327244520187378,0.0127852848335513,0.5403313656402714,0,0.229517736552674,0,4,0,0
cyclar_data_23_frame000580_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000580_Right,4,0.0120088814152993,0.5349818728097673,0.8381288051605225,0.0120088814152993,0.5349818728097673,0,0.2289270471643518,0,4,0,0
cyclar_data_23_frame000581_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000581_Right,4,0.0113302623762394,0.5343725887345679,0.8038228750228882,0.0113302623762394,0.5343725887345679,0,0.2303138073579764,0,4,0,0
cyclar_data_23_frame000582_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000582_Right,4,0.0100064100241361,0.5258416383845326,0.8319075703620911,0.0100064100241361,0.5258416383845326,0,0.4381100454448182,0,4,0,0
cyclar_data_23_frame000583_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000583_Right,4,0.0095745896952908,0.523947193789384,0.8473132848739624,0.0095745896952908,0.523947193789384,0,0.4302079471541039,0,4,0,0
cyclar_data_23_frame000584_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000584_Right,3,0.0075163601011887,0.5187463014704701,0.794659435749054,0.0075163601011887,0.5187463014704701,0,0.2273540025875892,0,3,0,0
cyclar_data_23_frame000585_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000585_Right,3,0.0073586526767087,0.51429723417808,0.7631244659423828,0.0065689558895507,0.5174770276732896,0,0.2291188887607904,0,3,0,0
cyclar_data_23_frame000586_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000586_Right,3,0.0075277034900179,0.5154497123058931,0.7958506345748901,0.0060525280035411,0.5158742582847061,0,0.2298815456437475,0,3,0,0
cyclar_data_23_frame000587_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000587_Right,4,0.0082490866895024,0.5161182733229649,0.8531562089920044,0.0082490866895024,0.5161182733229649,0,0.2257298363579644,0,4,0,0
cyclar_data_23_frame000588_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000588_Right,4,0.0086333660459908,0.517239229178723,0.8473978042602539,0.0086333660459908,0.517239229178723,0,0.2269613477918837,0,4,0,0
cyclar_data_23_frame000589_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000589_Right,3,0.0084695003303352,0.516877319587111,0.8275251984596252,0.0070541563425279,0.5178919976630819,0,0.2266776944384162,0,3,0,0
cyclar_data_23_frame000590_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000590_Right,5,0.0111008461486045,0.5120810049551504,0.8648496270179749,0.0087941368656535,0.5169804890950521,0,0.2297143111994236,0,5,0,0
cyclar_data_23_frame000591_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000591_Right,3,0.0094448302635147,0.5142714888961227,0.8526638746261597,0.0094448302635147,0.5142714888961227,0,0.2344841427273221,0,3,0,0
cyclar_data_23_frame000592_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000592_Right,5,0.0091995604995777,0.5038029863020029,0.8474608063697815,0.0091995604995777,0.5038029863020029,0,0.2857722058708285,0,5,0,0
cyclar_data_23_frame000593_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000593_Right,3,0.0101446393797634,0.4997654039673354,0.7882117033004761,0.0101446393797634,0.4997654039673354,0,0.2228671179877387,0,3,0,0
cyclar_data_23_frame000594_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000594_Right,4,0.0101160046546197,0.4910341741616834,0.6395559310913086,0.0101160046546197,0.4910341741616834,0,0.2361156322337962,0,4,0,0
cyclar_data_23_frame000595_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000595_Right,4,0.0108763470546481,0.4920740637759613,0.6686106324195862,0.0108763470546481,0.4920740637759613,0,0.2492283008716724,0,4,0,0
cyclar_data_23_frame000596_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000596_Right,2,0.0110263060742655,0.4974255032009548,0.7065246105194092,0.0110263060742655,0.4974255032009548,0,0.1876161834340036,0,2,0,0
cyclar_data_23_frame000597_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000597_Right,3,0.0111742497079841,0.5060336580001769,0.8298980593681335,0.0111742497079841,0.5060336580001769,0,0.2567746197735822,0,3,0,0
cyclar_data_23_frame000598_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000598_Right,6,0.0110691511078606,0.5112859780896347,0.8372567296028137,0.0110691511078606,0.5112859780896347,0,0.2604578983636549,0,6,0,0
cyclar_data_23_frame000599_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000599_Right,3,0.011825697104215,0.5243027298538773,0.7868086695671082,0.011825697104215,0.5243027298538773,0,0.2563143836127387,0,3,0,0
cyclar_data_23_frame000600_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000600_Right,2,0.01263596331739,0.5403366402834041,0.7973338961601257,0.01263596331739,0.5403366402834041,0,0.1965419628002025,0,2,0,0
cyclar_data_23_frame000601_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000601_Right,3,0.0130971233566507,0.5539675112123843,0.7274268865585327,0.0130971233566507,0.5539675112123843,0,0.2008306244273244,0,3,0,0
cyclar_data_23_frame000602_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000602_Right,2,0.0139864399676476,0.572072221418467,0.6890223026275635,0.0139864399676476,0.572072221418467,0,0.2058774689097462,0,2,0,0
cyclar_data_23_frame000603_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000603_Right,4,0.0144002866646688,0.5868458061061278,0.7153311967849731,0.0144002866646688,0.5868458061061278,0,0.25483767191569,0,4,0,0
cyclar_data_23_frame000604_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000604_Right,3,0.0128969461115248,0.5929677201887217,0.7808581590652466,0.0128969461115248,0.5929677201887217,0,0.2522056485399788,0,3,0,0
cyclar_data_23_frame000605_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000605_Right,6,0.0273783510717385,0.8515812124244471,0.7156019806861877,0.0273783510717385,0.8515812124244471,0,0.3035826741913219,0,5,1,0
cyclar_data_23_frame000606_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000606_Right,4,0.0268530589254658,0.8449928691848315,0.6930666565895081,0.0268530589254658,0.8449928691848315,0,0.2403393027223187,0,3,1,0
cyclar_data_23_frame000607_Left,1,0.0016981387225172,0.5448354713220165,0.2701332867145538,0.0016981387225172,0.5448354713220165,0,0.0,0,1,0,0
cyclar_data_23_frame000607_Right,5,0.0260138945539151,0.8384411344802919,0.6127204895019531,0.0260138945539151,0.8384411344802919,0,0.2391152323028187,0,4,1,0
cyclar_data_23_frame000608_Left,1,0.0022564382347836,0.5553737059542181,0.3317470848560333,0.0022564382347836,0.5553737059542181,0,0.0,0,1,0,0
cyclar_data_23_frame000608_Right,4,0.0261101662094581,0.838620346760063,0.677370548248291,0.0261101662094581,0.838620346760063,0,0.2376846266381534,0,3,1,0
cyclar_data_23_frame000609_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000609_Right,4,0.0261425342326012,0.8392251097125771,0.6821732521057129,0.0261425342326012,0.8392251097125771,0,0.2358824882978274,0,3,1,0
cyclar_data_23_frame000610_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000610_Right,3,0.0092797496426854,0.6035898467640818,0.7255462408065796,0.0092797496426854,0.6035898467640818,0,0.2168608300479841,0,3,0,0
cyclar_data_23_frame000611_Left,1,0.0041630703401661,0.5898325727800283,0.3956535160541534,0.0041630703401661,0.5898325727800283,0,0.0,0,1,0,0
cyclar_data_23_frame000611_Right,4,0.0102194201968626,0.60627721464683,0.725777804851532,0.0102194201968626,0.60627721464683,0,0.2925456011736834,0,4,0,0
cyclar_data_23_frame000612_Left,1,0.0046879172860139,0.6006742249791024,0.4791858196258545,0.0046879172860139,0.6006742249791024,0,0.0,0,1,0,0
cyclar_data_23_frame000612_Right,4,0.01006082284105,0.6006270043643904,0.7536056041717529,0.01006082284105,0.6006270043643904,0,0.2254672580295139,0,4,0,0
cyclar_data_23_frame000613_Left,1,0.0046824139730978,0.6153266184614519,0.2593429088592529,0.0046824139730978,0.6153266184614519,0,0.0,0,1,0,0
cyclar_data_23_frame000613_Right,4,0.0100980283920448,0.5974440084072788,0.7256000638008118,0.0100980283920448,0.5974440084072788,0,0.227749388894917,0,4,0,0
cyclar_data_23_frame000614_Left,1,0.0051125062321866,0.6300208323286394,0.3544750511646271,0.0051125062321866,0.6300208323286394,0,0.0,0,1,0,0
cyclar_data_23_frame000614_Right,4,0.010268149842256,0.5997099699797453,0.7170673608779907,0.010268149842256,0.5997099699797453,0,0.2319560580783419,0,4,0,0
cyclar_data_23_frame000615_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000615_Right,7,0.0100256905838586,0.5990493837207433,0.7455840706825256,0.0100256905838586,0.5990493837207433,0,0.3086318498776282,0,7,0,0
cyclar_data_23_frame000616_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000616_Right,4,0.0091910607746727,0.5952479986496914,0.7670819759368896,0.0091910607746727,0.5952479986496914,0,0.2338440977496865,0,4,0,0
cyclar_data_23_frame000617_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000617_Right,4,0.0071418063036421,0.5675390424061214,0.7375741600990295,0.0069865576370785,0.5774690604504243,0,0.2311434333707079,0,4,0,0
cyclar_data_23_frame000618_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000618_Right,5,0.0071706217642916,0.5688689432026427,0.6354062557220459,0.0055116021993806,0.573133931729038,0,0.3055552258903597,0,5,0,0
cyclar_data_23_frame000619_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000619_Right,5,0.0068833531241804,0.5709205282077868,0.6760432720184326,0.0007992836164395,0.5929220694082754,0,0.3486172711407697,0,5,0,0
cyclar_data_23_frame000620_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000620_Right,3,0.006457127208237,0.5749161959675605,0.6459745764732361,0.0021495474205062,0.5769378285349152,0,0.1440858723204813,0,3,0,0
cyclar_data_23_frame000621_Left,1,0.0060123698676674,0.6788445617926955,0.4439570605754852,0.0060123698676674,0.6788445617926955,0,0.0,0,1,0,0
cyclar_data_23_frame000621_Right,5,0.0070808334465581,0.5811989866657021,0.7140870690345764,0.0008566167317782,0.6042071055973508,0,0.3433673293502243,0,5,0,0
cyclar_data_23_frame000622_Left,1,0.0055211933631312,0.6788704954547646,0.4719874858856201,0.0055211933631312,0.6788704954547646,0,0.0,0,1,0,0
cyclar_data_23_frame000622_Right,3,0.0065232595671768,0.5849692262249229,0.7114412188529968,0.0021541290350838,0.5859663221571181,0,0.137652079264323,0,3,0,0
cyclar_data_23_frame000623_Left,1,0.0059865245954484,0.6772116201895254,0.2935388684272766,0.0059865245954484,0.6772116201895254,0,0.0,0,1,0,0
cyclar_data_23_frame000623_Right,4,0.0064106923743422,0.5885289196124293,0.7037734985351562,0.0022253992165879,0.5893370074990355,0,0.1937949804612148,0,4,0,0
