id,count_total,largest_area_frac,largest_bottom_y_norm,largest_conf,closest_area_frac,closest_bottom_y_norm,closest_conf,sum_area_frac,mean_conf,danger_label
cyclar_data_13_frame000534_Left,5,0.0356761010158378,0.7951609293619791,0.9055707454681396,0.0356761010158378,0.7951609293619791,0.9055707454681396,0.0746311668591165,0.5705159783363343,0
cyclar_data_13_frame000534_Right,3,0.1421896362910508,0.9988106935603138,0.7856354117393494,0.1421896362910508,0.9988106935603138,0.7856354117393494,0.1655830681964316,0.7440058787663778,0
cyclar_data_13_frame000535_Left,5,0.0352688063980357,0.794583983872653,0.9265221953392028,0.0352688063980357,0.794583983872653,0.9265221953392028,0.0759098886172344,0.5641254186630249,0
cyclar_data_13_frame000535_Right,3,0.1443740201267578,0.9987967534320344,0.8128365278244019,0.1443740201267578,0.9987967534320344,0.8128365278244019,0.1665472268832275,0.7448233366012573,0
cyclar_data_13_frame000536_Left,7,0.0343361521146607,0.7939464427806713,0.9408864974975586,0.0343361521146607,0.7939464427806713,0.9408864974975586,0.0802011664678629,0.5225540314401899,0
cyclar_data_13_frame000536_Right,5,0.148433098123573,0.9989770331991062,0.3470772206783294,0.148433098123573,0.9989770331991062,0.3470772206783294,0.3932226396866143,0.5024225533008575,0
cyclar_data_13_frame000537_Left,6,0.0346197333275218,0.794498836062082,0.9310440421104432,0.0346197333275218,0.794498836062082,0.9310440421104432,0.0783852247605139,0.5569485028584799,0
cyclar_data_13_frame000537_Right,3,0.1544025674009527,0.999007927537455,0.6415536999702454,0.1544025674009527,0.999007927537455,0.6415536999702454,0.1742926900841005,0.6293317675590515,0
cyclar_data_13_frame000538_Left,5,0.0342399802495503,0.7942007559317129,0.9309279918670654,0.0342399802495503,0.7942007559317129,0.9309279918670654,0.072719896980683,0.5863842785358429,0
cyclar_data_13_frame000538_Right,3,0.1440631502296666,0.9994490509661136,0.8094463348388672,0.1440631502296666,0.9994490509661136,0.8094463348388672,0.1616571984094019,0.6134853859742483,0
cyclar_data_13_frame000539_Left,5,0.0339499348182628,0.7941781503182871,0.93284410238266,0.0339499348182628,0.7941781503182871,0.93284410238266,0.0775736381551074,0.5699001133441925,0
cyclar_data_13_frame000539_Right,3,0.1434153930751252,0.999187328197338,0.7486777901649475,0.1434153930751252,0.999187328197338,0.7486777901649475,0.1600625912336511,0.587782233953476,0
cyclar_data_13_frame000540_Left,6,0.0334658759130946,0.7951613061222029,0.9277472496032716,0.0334658759130946,0.7951613061222029,0.9277472496032716,0.0743888413232006,0.555883526802063,0
cyclar_data_13_frame000540_Right,4,0.1349329702428001,0.9966622183842914,0.8225694298744202,0.0688474506687746,0.998404671625836,0.2581016719341278,0.2198215707273803,0.495482936501503,1
cyclar_data_13_frame000541_Left,5,0.0331650123110616,0.7995985368642297,0.8731504678726196,0.0331650123110616,0.7995985368642297,0.8731504678726196,0.0684428925142811,0.6135019421577453,0
cyclar_data_13_frame000541_Right,4,0.1213020020953154,0.9796404426480516,0.6473140120506287,0.0616576457450385,0.9979155112686472,0.3399400413036346,0.1969936032809081,0.513664998114109,1
cyclar_data_13_frame000542_Left,7,0.0328960345915616,0.8101012932420267,0.8634046316146851,0.0328960345915616,0.8101012932420267,0.8634046316146851,0.0730978129909949,0.5015545359679631,0
cyclar_data_13_frame000542_Right,4,0.1141631386077153,0.9861259303465792,0.8166338801383972,0.0207050462782894,0.998912167647248,0.318706750869751,0.1487730803485108,0.6116923391819,1
cyclar_data_13_frame000543_Left,6,0.0335004470558663,0.8255448831942837,0.9036052823066713,0.0335004470558663,0.8255448831942837,0.9036052823066713,0.0706519572270702,0.5606814473867416,0
cyclar_data_13_frame000543_Right,5,0.1000574404996361,0.9666146486384388,0.7954726815223694,0.0311923206418065,0.9993239037784528,0.5734358429908752,0.1622487365157617,0.5956865429878235,1
cyclar_data_13_frame000544_Left,6,0.0336908855886212,0.8327324007764275,0.89182448387146,0.0336908855886212,0.8327324007764275,0.89182448387146,0.0707791924455571,0.5818469425042471,0
cyclar_data_13_frame000544_Right,4,0.0873878460731154,0.9535786821027842,0.6002927422523499,0.0370404599354408,0.9987986372331532,0.5262535214424133,0.1371758563276324,0.5970970839262009,1
cyclar_data_13_frame000545_Left,6,0.0338239415564072,0.8369813141999422,0.919922411441803,0.0338239415564072,0.8369813141999422,0.919922411441803,0.0708357959494416,0.5991222063700358,0
cyclar_data_13_frame000545_Right,4,0.0656081572850664,0.9475808477205504,0.7220368981361389,0.0421468067353267,0.998911665300283,0.7967522740364075,0.1197455741304228,0.670542448759079,1
cyclar_data_13_frame000546_Left,6,0.0337395127663417,0.8429694784030993,0.914726972579956,0.0337395127663417,0.8429694784030993,0.914726972579956,0.0720124428666826,0.6069569488366445,0
cyclar_data_13_frame000546_Right,4,0.0627185238885417,0.9441596137152778,0.8159757256507874,0.0476739987345377,0.9994714054060572,0.6213065981864929,0.1230582146351995,0.7055790722370148,1
cyclar_data_13_frame000547_Left,6,0.0332061287620831,0.8441827091169946,0.8860869407653809,0.0332061287620831,0.8441827091169946,0.8860869407653809,0.0745787030958989,0.6036229232947031,0
cyclar_data_13_frame000547_Right,6,0.1203485875774611,0.9993637147754308,0.3259850442409515,0.0570211999538211,0.9997759532536008,0.3038574457168579,0.2483292225262388,0.5168804476658503,1
cyclar_data_13_frame000548_Left,6,0.0332318813674738,0.8426184006679205,0.8899322152137756,0.0332318813674738,0.8426184006679205,0.8899322152137756,0.0755969228068901,0.5971508224805196,0
cyclar_data_13_frame000548_Right,6,0.1186632718574715,0.9992423351900076,0.3695640861988067,0.1186632718574715,0.9992423351900076,0.3695640861988067,0.2570734565634339,0.5331420600414276,1
cyclar_data_13_frame000549_Left,6,0.0328522245645047,0.8382040895061729,0.8922386169433594,0.0328522245645047,0.8382040895061729,0.8922386169433594,0.0744402415399291,0.5967211623986562,0
cyclar_data_13_frame000549_Right,5,0.1190180410236739,0.9990541434582368,0.2808588445186615,0.0708961433215853,0.999446978784883,0.6527799963951111,0.2576677473502525,0.6248950779438018,1
cyclar_data_13_frame000550_Left,6,0.032861851729424,0.8356142397280093,0.9027419090270996,0.032861851729424,0.8356142397280093,0.9027419090270996,0.0762492349767586,0.5777128040790558,0
